block,trial,type,onsetDateTime,onsetPOSIX,duration_s,f_assr,beatFreq,note
ASSR_BASELINE,1,ASSR,13-Nov-2025 12:51:43,1763056303.48243,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,2,ASSR,13-Nov-2025 12:51:46,1763056306.52009,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,3,ASSR,13-Nov-2025 12:51:49,1763056309.55691,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,4,ASSR,13-Nov-2025 12:51:52,1763056312.58921,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,5,ASSR,13-Nov-2025 12:51:55,1763056315.61664,20,40,0,ASSR same modulation both ears
BINAURAL_ASSR,1,ASSR_BINAURAL,13-Nov-2025 12:51:58,1763056318.64197,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,2,ASSR_BINAURAL,13-Nov-2025 12:52:01,1763056321.67501,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,3,ASSR_BINAURAL,13-Nov-2025 12:52:04,1763056324.70957,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,4,ASSR_BINAURAL,13-Nov-2025 12:52:07,1763056327.7473,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,5,ASSR_BINAURAL,13-Nov-2025 12:52:10,1763056330.77997,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,6,ASSR_BINAURAL,13-Nov-2025 12:52:13,1763056333.81331,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,7,ASSR_BINAURAL,13-Nov-2025 12:52:16,1763056336.84571,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,8,ASSR_BINAURAL,13-Nov-2025 12:52:19,1763056339.87871,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,9,ASSR_BINAURAL,13-Nov-2025 12:52:22,1763056342.91128,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,10,ASSR_BINAURAL,13-Nov-2025 12:52:25,1763056345.94536,30,40,7,ASSR binaural beat (L vs R modulation offset)
