block,trial,type,onsetDateTime,onsetPOSIX,duration_s,f_assr,beatFreq,note
ASSR_BASELINE,1,ASSR,13-Nov-2025 13:08:44,1763057324.14224,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,2,ASSR,13-Nov-2025 13:08:47,1763057327.1635,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,3,ASSR,13-Nov-2025 13:08:50,1763057330.18415,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,4,ASSR,13-Nov-2025 13:08:53,1763057333.20487,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,5,ASSR,13-Nov-2025 13:08:56,1763057336.22532,20,40,0,ASSR same modulation both ears
BINAURAL_ASSR,1,ASSR_BINAURAL,13-Nov-2025 13:08:59,1763057339.24496,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,2,ASSR_BINAURAL,13-Nov-2025 13:09:02,1763057342.27253,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,3,ASSR_BINAURAL,13-Nov-2025 13:09:05,1763057345.30215,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,4,ASSR_BINAURAL,13-Nov-2025 13:09:08,1763057348.33162,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,5,ASSR_BINAURAL,13-Nov-2025 13:09:11,1763057351.35898,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,6,ASSR_BINAURAL,13-Nov-2025 13:09:14,1763057354.38675,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,7,ASSR_BINAURAL,13-Nov-2025 13:09:17,1763057357.41358,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,8,ASSR_BINAURAL,13-Nov-2025 13:09:20,1763057360.44103,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,9,ASSR_BINAURAL,13-Nov-2025 13:09:23,1763057363.46858,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,10,ASSR_BINAURAL,13-Nov-2025 13:09:26,1763057366.49921,30,40,7,ASSR binaural beat (L vs R modulation offset)
